# Company | URL | why candidate — batch 2 (rotated picks)
Global Leadership Adventures | https://www.experiencegla.com/ | gap-year / service-learning program leaders
Moondance Adventures | https://www.moondanceadventures.com/ | teen adventure trip leaders
Bold Earth | https://www.boldearth.com/ | teen travel/adventure trip leaders
Avid4 Adventure | https://www.avid4.com/ | youth outdoor adventure instructors/leaders
Putney Student Travel | https://www.goputney.com/ | student travel program leaders
The Experiment in International Living | https://www.experiment.org/ | experiential/education trip leaders
Wilderness Adventures | https://www.wildernessadventures.com/ | teen wilderness trip leaders
Action Quest | https://www.actionquest.com/ | teen sailing/scuba/adventure trip staff
Lifeworks International | https://www.lifeworks.com/ | service-learning / travel program leaders
EF Go Ahead Tours | https://www.goaheadtours.com/ | tour directors / trip leaders for multiday tours
